,ProviderId1,WindSpeed1,WindDirection1,Temperature1,Pressure1,Humidity1,PowerWOAvailability1,PowerMWh
2020-01-03 16:00:00,1,8.0,35.0,6.9,100722,69.06,46.96,47.699200000000005
2020-01-03 17:00:00,1,7.7,36.0,6.6,100732,70.29,43.379,40.01173333333334
2020-01-03 18:00:00,1,7.3,37.0,6.2,100742,71.52,39.763,34.86933333333333
2020-01-03 19:00:00,1,6.9,38.0,5.9,100762,71.93,40.616,33.7344
2020-01-03 20:00:00,1,6.6,39.0,5.8,100784,72.34,38.851,30.801066666666664
2020-01-03 21:00:00,1,6.3,41.0,5.4,100773,72.75,34.276,18.59413333333333
2020-01-03 22:00:00,1,5.8,40.0,5.3,100754,72.12,26.879,7.678933333333333
2020-01-03 23:00:00,1,5.2,40.0,5.0,100733,71.49,18.989,1.9008
2020-01-04 00:00:00,1,3.3,33.0,4.8,100772,72.54,4.51,0.9504
2020-01-04 01:00:00,1,2.6,22.0,4.6,100750,71.77,4.378,0.4810666666666667
2020-01-04 02:00:00,1,2.0,6.0,4.5,100722,70.99,2.917,1.2629333333333332
2020-01-04 03:00:00,1,1.6,340.0,4.3,100695,70.21,2.706,0.0
2020-01-04 04:00:00,1,1.6,313.0,4.1,100651,69.96,5.067,0.0
2020-01-04 05:00:00,1,1.6,283.0,3.8,100573,69.7,4.051,0.0
2020-01-04 06:00:00,1,1.5,269.0,3.6,100495,69.44,4.353,0.4032
2020-01-04 07:00:00,1,1.8,254.0,3.4,100446,69.37,3.759,0.1098666666666666
2020-01-04 08:00:00,1,2.3,229.0,3.1,100409,69.29,3.674,1.2864
2020-01-04 09:00:00,1,2.7,225.0,2.9,100412,69.21,4.627,5.486933333333333
2020-01-04 10:00:00,1,2.8,228.0,3.7,100408,67.08,6.224,6.039466666666667
2020-01-04 11:00:00,1,2.9,231.0,4.8,100401,64.96,6.512,6.0128
2020-01-04 12:00:00,1,3.3,235.0,5.9,100390,62.83,7.144,4.251733333333334
2020-01-04 13:00:00,1,3.1,241.0,6.5,100357,61.32,5.643,1.0912086688685196
2020-01-04 14:00:00,1,2.4,255.0,7.2,100317,59.82,6.021,0.5260530056666601
2020-01-04 15:00:00,1,1.9,260.0,7.8,100275,58.31,3.87,1.6607999999999998
2020-01-04 16:00:00,1,2.1,239.0,7.6,100264,59.38,3.088,0.4202666666666667
2020-01-04 17:00:00,1,2.5,227.0,7.2,100292,60.44,3.597,0.5066456102980333
2020-01-04 18:00:00,1,2.6,224.0,6.7,100319,61.5,2.425,0.7824021117465904
2020-01-04 19:00:00,1,2.8,220.0,5.9,100350,62.18,2.722,1.114
2020-01-04 20:00:00,1,2.9,220.0,5.2,100378,62.86,4.845,4.571
2020-01-04 21:00:00,1,3.0,217.0,4.4,100376,63.54,6.038,3.972
2020-01-04 22:00:00,1,3.0,219.0,3.9,100364,63.76,6.391,6.739000000000001
2020-01-04 23:00:00,1,3.2,220.0,3.5,100350,63.97,6.583,9.493
2020-01-05 00:00:00,1,3.3,220.0,3.2,100334,61.1,7.526,8.755
2020-01-05 01:00:00,1,3.4,218.0,3.2,100317,60.29,7.321,11.06
2020-01-05 02:00:00,1,3.5,216.0,3.1,100298,59.48,7.888,9.171
2020-01-05 03:00:00,1,3.5,218.0,3.0,100280,58.68,7.853,6.461
2020-01-05 04:00:00,1,3.6,217.0,3.1,100242,57.66,7.404,3.733
2020-01-05 05:00:00,1,3.8,218.0,3.1,100170,56.65,6.831,6.306000000000001
2020-01-05 06:00:00,1,3.9,218.0,3.1,100096,55.63,6.033,5.805
2020-01-05 07:00:00,1,3.4,222.0,3.1,100058,56.14,4.143,3.4130000000000003
2020-01-05 08:00:00,1,2.9,221.0,3.2,100030,56.65,3.476,5.257
2020-01-05 09:00:00,1,2.7,225.0,3.3,100040,57.16,5.431,3.767421290933979
2020-01-05 10:00:00,1,2.5,246.0,3.9,100018,61.28,3.516,0.8289999999999998
2020-01-05 11:00:00,1,2.5,260.0,4.8,99987,65.39,3.447,0.0
2020-01-05 12:00:00,1,3.0,274.0,5.7,99956,69.51,4.529,0.106
2020-01-05 13:00:00,1,3.4,297.0,6.4,99913,71.84,5.325,0.824
2020-01-05 14:00:00,1,3.3,332.0,6.6,99858,74.17,6.931,4.892
2020-01-05 15:00:00,1,3.5,9.0,6.6,99803,76.51,8.405,11.454
2020-01-05 16:00:00,1,5.3,4.0,5.9,99808,76.72,17.787,41.928
2020-01-05 17:00:00,1,6.8,9.0,5.4,99854,76.93,33.033,54.323
2020-01-05 18:00:00,1,7.9,16.0,5.0,99897,77.13,41.494,54.444
2020-01-05 19:00:00,1,8.6,24.0,4.9,99938,81.49,49.073,54.366
2020-01-05 20:00:00,1,9.4,27.0,4.8,99985,85.84,51.314,54.286
2020-01-05 21:00:00,1,9.7,28.0,4.5,100001,90.19,51.451,54.322
2020-01-05 22:00:00,1,9.7,32.0,4.7,99989,90.9,52.036,54.306
2020-01-05 23:00:00,1,9.7,35.0,4.8,99975,91.62,52.805,54.30199999999999
2020-01-06 00:00:00,1,10.8,40.0,5.7,99781,82.6,53.565,53.973000000000006
2020-01-06 01:00:00,1,11.3,42.0,5.8,99765,82.84,53.89,54.266000000000005
2020-01-06 02:00:00,1,11.7,43.0,5.8,99750,83.08,53.462,54.196
2020-01-06 03:00:00,1,12.2,45.0,5.9,99726,83.32,54.012,54.313
2020-01-06 04:00:00,1,12.4,43.0,6.0,99712,84.12,54.272,54.34
2020-01-06 05:00:00,1,12.2,46.0,6.0,99655,84.92,53.971,53.96300000000001
2020-01-06 06:00:00,1,12.2,45.0,6.0,99600,85.71,54.074,54.051
2020-01-06 07:00:00,1,12.0,48.0,6.0,99550,85.31,54.45,54.216
2020-01-06 08:00:00,1,11.8,51.0,6.0,99520,84.91,54.03,52.691
2020-01-06 09:00:00,1,11.7,51.0,6.2,99528,84.5,54.225,54.14099999999999
2020-01-06 10:00:00,1,11.9,50.0,6.3,99530,84.66,54.427,50.552
2020-01-06 11:00:00,1,12.1,52.0,6.4,99528,84.82,54.058,51.303
2020-01-06 12:00:00,1,11.6,53.0,6.5,99519,84.99,53.418,42.278
2020-01-06 13:00:00,1,11.7,52.0,6.6,99502,85.3,53.956,44.074
2020-01-06 14:00:00,1,12.5,49.0,6.7,99478,85.61,54.62,50.2
2020-01-06 15:00:00,1,12.5,47.0,6.7,99445,85.92,54.588,51.641000000000005
2020-01-06 16:00:00,1,12.8,43.0,6.8,99447,85.24,54.678,54.315000000000005
2020-01-06 17:00:00,1,12.6,41.0,6.9,99492,84.56,54.432,54.09700000000001
2020-01-06 18:00:00,1,12.4,38.0,7.0,99533,83.88,54.34,54.47299999999999
2020-01-06 19:00:00,1,12.0,36.0,7.0,99588,84.76,54.228,54.50200000000001
2020-01-06 20:00:00,1,12.8,33.0,7.1,99644,85.64,54.486,54.38442599484684
2020-01-06 21:00:00,1,13.3,32.0,7.1,99668,86.53,54.453,54.46953195558625
2020-01-06 22:00:00,1,12.7,33.0,7.2,99682,86.49,54.255,54.37484201023172
2020-01-06 23:00:00,1,12.1,36.0,7.2,99688,86.46,54.167,53.94030913348946
2020-01-07 00:00:00,1,12.2,36.0,6.9,99749,87.8,54.292,54.328326255163184
2020-01-07 01:00:00,1,14.7,32.0,7.1,99752,88.35,54.871,53.98612631630624
2020-01-07 02:00:00,1,15.4,29.0,7.1,99768,88.89,54.742,53.73930426261636
2020-01-07 03:00:00,1,16.6,26.0,7.2,99788,89.43,54.796,52.95927032552288
2020-01-07 04:00:00,1,17.3,25.0,7.1,99807,89.44,54.52,53.90730331856351
2020-01-07 05:00:00,1,18.2,24.0,7.0,99788,89.44,54.45,53.69290853031861
2020-01-07 06:00:00,1,18.5,23.0,6.8,99769,89.44,54.559,53.71309923664121
2020-01-07 07:00:00,1,17.9,23.0,6.7,99796,89.06,54.572,52.88916767189386
2020-01-07 08:00:00,1,17.7,22.0,6.6,99826,88.67,54.888,52.36879308458256
2020-01-07 09:00:00,1,17.7,21.0,6.5,99895,88.29,54.874,53.89893603384181
2020-01-07 10:00:00,1,17.5,21.0,6.5,99951,88.15,54.827,54.28046797125021
2020-01-07 11:00:00,1,17.3,19.0,6.4,99999,88.01,54.756,54.04122198151996
2020-01-07 12:00:00,1,16.8,18.0,6.4,100045,87.86,54.772,54.3820686749526
2020-01-07 13:00:00,1,16.9,18.0,6.4,100077,88.12,54.746,54.36824383046668
2020-01-07 14:00:00,1,16.8,17.0,6.3,100102,88.37,54.759,54.50671533715556
2020-01-07 15:00:00,1,16.8,16.0,6.2,100128,88.62,54.821,54.57353007265373
2020-01-07 16:00:00,1,16.7,15.0,6.1,100188,88.89,54.795,54.3854305425771
2020-01-07 17:00:00,1,16.5,15.0,6.0,100289,89.15,54.827,54.45342579332178
2020-01-07 18:00:00,1,16.3,15.0,5.9,100388,89.42,54.818,54.51946666666667
2020-01-07 19:00:00,1,16.1,16.0,5.8,100470,89.16,54.853,54.53973333333333
2020-01-07 20:00:00,1,15.7,17.0,5.8,100549,88.91,54.815,54.53333333333333
2020-01-07 21:00:00,1,15.4,17.0,5.7,100598,88.65,54.822,54.54506666666668
2020-01-07 22:00:00,1,15.2,17.0,5.6,100631,88.3,54.75,54.51946666666667
2020-01-07 23:00:00,1,14.8,17.0,5.6,100661,87.96,54.497,54.501333333333335
2020-01-08 00:00:00,1,14.4,15.0,4.9,100726,89.46,54.69,54.46933333333334
2020-01-08 01:00:00,1,14.3,15.0,4.9,100753,89.32,54.678,54.455466666666666
2020-01-08 02:00:00,1,14.0,15.0,4.9,100779,89.18,54.676,54.47786666666666
2020-01-08 03:00:00,1,13.9,15.0,4.9,100804,89.04,54.924,54.5056
2020-01-08 04:00:00,1,13.8,15.0,4.9,100809,87.68,54.839,54.501333333333335
2020-01-08 05:00:00,1,13.8,15.0,4.9,100777,86.32,54.843,54.49066666666666
2020-01-08 06:00:00,1,13.6,16.0,4.9,100742,84.96,54.859,54.50666666666667
2020-01-08 07:00:00,1,13.8,17.0,4.9,100739,84.47,54.889,54.51626666666667
2020-01-08 08:00:00,1,13.9,17.0,4.9,100745,83.98,54.998,54.53439999999999
2020-01-08 09:00:00,1,13.9,19.0,4.9,100791,83.49,55.013,54.53439999999999
2020-01-08 10:00:00,1,13.9,19.0,5.1,100821,82.82,54.988,54.53866666666667
2020-01-08 11:00:00,1,13.6,21.0,5.3,100853,82.15,54.919,54.50666666666667
2020-01-08 12:00:00,1,13.4,21.0,5.5,100882,81.47,54.907,54.51626666666667
2020-01-08 13:00:00,1,13.4,22.0,5.5,100896,81.13,54.879,54.39343173826905
2020-01-08 14:00:00,1,13.2,22.0,5.6,100905,80.78,54.875,54.48528878386547
2020-01-08 15:00:00,1,13.1,21.0,5.6,100907,80.43,54.892,54.678304977279936
2020-01-08 16:00:00,1,13.1,23.0,5.5,100939,80.31,54.842,54.44694349135214
2020-01-08 17:00:00,1,12.8,23.0,5.3,101006,80.2,54.845,54.533
2020-01-08 18:00:00,1,12.8,24.0,5.2,101071,80.08,54.872,54.52600000000001
2020-01-08 19:00:00,1,12.5,23.0,5.1,101128,80.4,54.89,54.538
2020-01-08 20:00:00,1,12.2,24.0,4.9,101182,80.72,54.794,54.48
2020-01-08 21:00:00,1,12.0,25.0,4.7,101204,81.05,54.805,54.421
2020-01-08 22:00:00,1,11.5,24.0,4.6,101200,80.29,54.611,54.45300000000001
2020-01-08 23:00:00,1,11.2,24.0,4.5,101198,79.53,54.425,54.1496382465598
2020-01-09 00:00:00,1,11.1,24.0,4.2,101289,76.51,54.543,54.456
2020-01-09 01:00:00,1,10.7,27.0,4.1,101297,76.91,54.213,54.172
2020-01-09 02:00:00,1,10.9,26.0,4.1,101295,77.3,54.308,53.93
2020-01-09 03:00:00,1,10.4,25.0,4.0,101299,77.7,54.164,54.358
2020-01-09 04:00:00,1,10.6,28.0,4.0,101283,78.15,54.191,52.93800000000001
2020-01-09 05:00:00,1,9.8,32.0,3.9,101231,78.6,53.405,52.402
2020-01-09 06:00:00,1,9.3,33.0,3.9,101177,79.05,52.133,52.92
2020-01-09 07:00:00,1,9.1,33.0,3.9,101152,78.41,50.823,46.568
2020-01-09 08:00:00,1,9.2,33.0,3.8,101137,77.76,50.866,48.946
2020-01-09 09:00:00,1,8.3,35.0,3.8,101162,77.11,49.702,25.385787132472604
2020-01-09 10:00:00,1,8.1,37.0,4.2,101176,74.75,50.146,14.51011734855693
2020-01-09 11:00:00,1,7.8,39.0,4.6,101184,72.38,49.155,15.631999999999998
2020-01-09 12:00:00,1,7.8,37.0,5.0,101190,70.02,49.969,31.56
2020-01-09 13:00:00,1,7.7,38.0,5.4,101167,68.5,49.171,15.215
2020-01-09 14:00:00,1,7.3,39.0,5.6,101134,66.98,46.315,29.381
2020-01-09 15:00:00,1,6.8,37.0,5.9,101100,65.46,41.09,36.444
2020-01-09 16:00:00,1,6.7,37.0,5.7,101099,66.53,40.395,39.537
2020-01-09 17:00:00,1,6.5,38.0,5.5,101143,67.61,30.466,30.616
2020-01-09 18:00:00,1,6.3,41.0,5.2,101187,68.68,25.884,18.12
2020-01-09 19:00:00,1,6.1,41.0,4.8,101222,69.25,16.985,8.380732917266762
2020-01-09 20:00:00,1,5.8,44.0,4.6,101256,69.82,11.637,10.059715401985734
2020-01-09 21:00:00,1,5.6,47.0,4.3,101259,70.38,9.744,7.114879310029784
2020-01-09 22:00:00,1,5.1,48.0,4.1,101248,69.98,9.299,5.293987146755876
2020-01-09 23:00:00,1,4.6,48.0,3.8,101237,69.58,6.596,1.962
2020-01-10 00:00:00,1,4.0,47.0,3.5,101242,71.24,5.035,1.199
2020-01-10 01:00:00,1,3.4,46.0,3.3,101245,71.64,2.733,1.423
2020-01-10 02:00:00,1,3.0,47.0,3.2,101245,72.04,3.234,0.285
2020-01-10 03:00:00,1,2.7,50.0,3.1,101238,72.44,3.104,0.0
2020-01-10 04:00:00,1,2.7,61.0,3.0,101219,72.99,5.754,0.0063585516632322
2020-01-10 05:00:00,1,2.7,65.0,2.9,101164,73.53,7.682,0.1599999999999999
2020-01-10 06:00:00,1,2.5,95.0,2.8,101106,74.08,2.985,0.5418666666666667
2020-01-10 07:00:00,1,2.4,106.0,2.5,101077,73.46,3.014,0.6825917594776979
2020-01-10 08:00:00,1,2.2,115.0,2.2,101056,72.83,3.131,0.0
2020-01-10 09:00:00,1,2.1,119.0,2.0,101075,72.21,3.563,0.373
2020-01-10 10:00:00,1,2.3,126.0,2.9,101077,69.92,5.037,1.1308914053947343
2020-01-10 11:00:00,1,1.9,131.0,4.1,101072,67.63,3.1,0.4576
2020-01-10 12:00:00,1,1.6,133.0,5.3,101068,65.33,1.37,0.0405333333333333
2020-01-10 13:00:00,1,1.4,131.0,6.2,101040,65.2,0.521,0.0
2020-01-10 14:00:00,1,1.5,103.0,6.9,101000,65.06,0.932,0.0
2020-01-10 15:00:00,1,1.3,56.0,7.5,100958,64.92,0.667,0.0
2020-01-10 16:00:00,1,1.7,41.0,7.2,100962,65.6,0.799,0.0
2020-01-10 17:00:00,1,1.6,49.0,6.8,101009,66.29,0.784,0.0
2020-01-10 18:00:00,1,1.4,59.0,6.3,101057,66.97,1.222,0.0
2020-01-10 19:00:00,1,1.3,78.0,5.6,101097,66.64,1.063,0.1560757302938657
2020-01-10 20:00:00,1,1.1,106.0,5.0,101134,66.3,1.2,1.5369179659348575
2020-01-10 21:00:00,1,1.1,125.0,4.5,101139,65.97,1.427,3.531
2020-01-10 22:00:00,1,1.4,128.0,4.2,101137,66.57,1.177,8.004
2020-01-10 23:00:00,1,1.5,134.0,4.0,101134,67.17,1.923,7.918
2020-01-11 00:00:00,1,1.5,146.0,5.0,101216,67.43,1.984,10.994
2020-01-11 01:00:00,1,2.0,151.0,4.8,101226,67.07,3.251,16.696
2020-01-11 02:00:00,1,2.8,156.0,4.6,101236,66.71,5.038,14.383
2020-01-11 03:00:00,1,2.4,165.0,4.5,101245,66.35,5.209,15.378
2020-01-11 04:00:00,1,2.3,163.0,4.3,101220,66.1,5.174,15.659
2020-01-11 05:00:00,1,2.5,157.0,4.1,101161,65.86,5.219,13.351000000000004
2020-01-11 06:00:00,1,1.9,161.0,3.9,101102,65.61,3.802,12.186
2020-01-11 07:00:00,1,1.9,167.0,3.9,101078,64.45,3.948,12.232
2020-01-11 08:00:00,1,2.3,168.0,3.7,101054,63.28,6.193,11.127
2020-01-11 09:00:00,1,2.1,176.0,3.7,101064,62.12,4.447,13.235
2020-01-11 10:00:00,1,2.1,178.0,4.8,101061,59.74,4.516,12.047924725561945
2020-01-11 11:00:00,1,1.8,191.0,5.9,101058,57.37,3.154,6.851
2020-01-11 12:00:00,1,1.7,202.0,7.0,101055,55.0,3.268,4.364
2020-01-11 13:00:00,1,1.9,213.0,7.9,101010,55.28,2.824,0.692191489741621
2020-01-11 14:00:00,1,1.9,230.0,8.8,100964,55.56,1.879,0.0
2020-01-11 15:00:00,1,1.9,234.0,9.7,100919,55.83,1.132,0.0
2020-01-11 16:00:00,1,1.8,229.0,9.3,100923,56.97,1.034,0.0
2020-01-11 17:00:00,1,1.7,290.0,8.8,100969,58.1,1.158,0.025
2020-01-11 18:00:00,1,1.7,340.0,8.4,101014,59.24,0.545,3.564
2020-01-11 19:00:00,1,1.7,360.0,7.9,101057,59.06,0.959,11.688
2020-01-11 20:00:00,1,1.7,39.0,7.4,101099,58.89,2.047,2.08
2020-01-11 21:00:00,1,1.7,111.0,6.9,101100,58.71,1.336,2.744
2020-01-11 22:00:00,1,2.0,113.0,6.8,101125,60.18,1.455,2.926
2020-01-11 23:00:00,1,2.2,88.0,6.6,101150,61.65,2.799,0.765
2020-01-12 00:00:00,1,1.5,296.0,6.7,101172,62.74,2.938,2.158031999164331
2020-01-12 01:00:00,1,1.7,83.0,6.4,101196,65.52,2.092,0.248
2020-01-12 02:00:00,1,1.9,44.0,6.2,101221,68.3,4.492,2.816
2020-01-12 03:00:00,1,2.0,305.0,5.9,101245,71.07,7.301,4.317
2020-01-12 04:00:00,1,2.2,335.0,5.8,101252,73.41,9.338,5.131
2020-01-12 05:00:00,1,2.5,348.0,5.7,101225,75.75,4.557,4.363
2020-01-12 06:00:00,1,2.5,1.0,5.6,101198,78.09,5.306,8.056
2020-01-12 07:00:00,1,2.9,26.0,5.6,101203,78.49,8.152,27.814
2020-01-12 08:00:00,1,3.7,41.0,5.7,101208,78.89,12.255,23.541
2020-01-12 09:00:00,1,4.3,44.0,5.8,101248,79.3,15.53,12.055
2020-01-12 10:00:00,1,4.3,45.0,6.2,101278,82.52,14.426,0.53
2020-01-12 11:00:00,1,3.8,48.0,6.6,101309,85.75,9.422,0.107
2020-01-12 12:00:00,1,2.9,54.0,7.0,101340,88.97,4.544,0.11
2020-01-12 13:00:00,1,3.1,68.0,7.4,101337,87.56,7.628,0.187
2020-01-12 14:00:00,1,3.5,28.0,7.8,101334,86.14,6.833,5.97
2020-01-12 15:00:00,1,4.1,38.0,8.1,101331,84.72,10.674,2.865
2020-01-12 16:00:00,1,6.4,40.0,7.9,101355,84.16,25.96,4.943
2020-01-12 17:00:00,1,6.3,40.0,7.7,101422,83.6,36.606,10.887
2020-01-12 18:00:00,1,6.5,39.0,7.5,101488,83.04,44.231,20.28
2020-01-12 19:00:00,1,6.7,39.0,7.4,101564,82.98,47.256,36.993
2020-01-12 20:00:00,1,6.9,35.0,7.2,101640,82.92,50.713,38.871
2020-01-12 21:00:00,1,7.3,36.0,7.0,101674,82.86,52.256,45.223
2020-01-12 22:00:00,1,6.8,39.0,6.9,101689,82.57,48.846,44.561
2020-01-12 23:00:00,1,6.2,44.0,6.7,101703,82.28,43.365,41.647
2020-01-13 00:00:00,1,6.5,50.0,7.1,101621,82.75,29.508,39.607
2020-01-13 01:00:00,1,6.0,52.0,7.0,101623,81.74,22.237,31.833
2020-01-13 02:00:00,1,5.6,54.0,6.9,101624,80.73,17.96,23.91
2020-01-13 03:00:00,1,5.2,56.0,6.8,101626,79.73,15.985,16.374
2020-01-13 04:00:00,1,5.0,60.0,6.5,101616,79.89,11.195,13.773
2020-01-13 05:00:00,1,4.8,62.0,6.3,101571,80.05,7.318,8.457
2020-01-13 06:00:00,1,4.6,65.0,6.0,101526,80.22,6.536,0.931
2020-01-13 07:00:00,1,4.3,68.0,5.7,101504,80.95,4.353,2.628
2020-01-13 08:00:00,1,4.3,71.0,5.3,101481,81.68,3.968,2.22
2020-01-13 09:00:00,1,4.5,74.0,5.1,101493,82.41,4.308,0.538
2020-01-13 10:00:00,1,4.3,72.0,5.8,101481,80.08,4.217,0.272
2020-01-13 11:00:00,1,4.2,69.0,6.4,101469,77.75,2.548,0.568
2020-01-13 12:00:00,1,4.0,66.0,7.0,101456,75.42,2.953,0.213
2020-01-13 13:00:00,1,4.2,58.0,7.5,101411,74.18,4.594,1.303
2020-01-13 14:00:00,1,4.2,47.0,7.9,101366,72.93,5.781,1.539
2020-01-13 15:00:00,1,4.4,38.0,8.3,101320,71.69,6.252,6.583
2020-01-13 16:00:00,1,4.5,36.0,8.0,101314,72.83,6.565,11.004
2020-01-13 17:00:00,1,4.6,38.0,7.7,101348,73.98,6.088,14.686
2020-01-13 18:00:00,1,4.5,41.0,7.5,101381,75.12,5.746,14.085
2020-01-13 19:00:00,1,4.6,45.0,7.0,101426,77.07,4.781,14.037
2020-01-13 20:00:00,1,4.7,50.0,6.5,101470,79.03,4.575,13.348
2020-01-13 21:00:00,1,4.6,54.0,6.0,101475,80.98,4.623,12.384
2020-01-13 22:00:00,1,3.9,60.0,5.8,101460,80.43,3.317,9.379
2020-01-13 23:00:00,1,3.3,67.0,5.5,101444,79.87,4.076,7.567
2020-01-14 00:00:00,1,3.2,93.0,5.2,101388,78.29,3.141,4.8
2020-01-14 01:00:00,1,2.8,100.0,5.0,101377,77.47,2.813,3.5000000000000004
2020-01-14 02:00:00,1,2.7,105.0,4.8,101367,76.64,3.498,3.3000000000000003
